code,img_file,img_d,img_c,img_manufacturer,imprint1,imprint2,color,shape,score,logo,Remarks,Check code,,,,
ACET01,ACET01_20200213_INN1.jpg,13/02/2020,Loose pill,Synco,AZ 250,S,White,Round,S1,Synco,,ACETAZOLAMIDE TABLET 250MG,,,,
ACET01,ACET01_20200213_OUT1.jpg,13/02/2020,Packaging,Synco,,,,,,,,ACETAZOLAMIDE TABLET 250MG,,,,
ACET04,ACET04_20200724_OUT1.jpg,24/07/2020,Packaging,Mylan,,,,,,,,ACETAZOLAMIDE (SODIUM) INJECTION 500MG,,,,
ACTI02,ACTI02_20200215_OUT1.jpg,15/02/2020,Packaging,?,,,,,,,,ACTIFED (OR EQUIV) SYRUP,,,,
ACYC02,ACYC02_20200218_OUT1.jpg,18/02/2020,Packaging,GlaxoSmithKline,,,,,,,,ACYCLOVIR (ACICLOVIR) (SODIUM) INJECTION 250MG,,,,
ACYC02,ACYC02_20200218_OUT2.jpg,18/02/2020,Packaging,GlaxoSmithKline,,,,,,,,ACYCLOVIR (ACICLOVIR) (SODIUM) INJECTION 250MG,,,,
ACYC02,ACYC02_20200218_OUT3.jpg,18/02/2020,Content,GlaxoSmithKline,,,,,,,,ACYCLOVIR (ACICLOVIR) (SODIUM) INJECTION 250MG,,,,
ACYC03,ACYC03_20200215_OUT1.jpg,15/02/2020,Packaging & Content,STADA Arzneimittel AG ,,,,,,,,ACYCLOVIR (ACICLOVIR) CREAM 5% 2G,,,,
ACYC03,ACYC03_20200215_OUT2.jpg,15/02/2020,Packaging,STADA Arzneimittel AG ,,,,,,,,ACYCLOVIR (ACICLOVIR) CREAM 5% 2G,,,,
ADAL10,ADAL10_20200406_OUT1.jpg,06/04/2020,Content,Abbvie,,,,,,,,ADALIMUMAB (HUMIRA) PREFILLED PEN 40MG/0.4ML,,,,
ADAL10,ADAL10_20200406_OUT2.jpg,06/04/2020,Packaging,Abbvie,,,,,,,,ADALIMUMAB (HUMIRA) PREFILLED PEN 40MG/0.4ML,,,,
ADAL10,ADAL10_20200406_OUT3.jpg,06/04/2020,Packaging,Abbvie,,,,,,,,ADALIMUMAB (HUMIRA) PREFILLED PEN 40MG/0.4ML,,,,
ADAL10,ADAL10_20200406_OUT4.jpg,06/04/2020,Packaging,Abbvie,,,,,,,,ADALIMUMAB (HUMIRA) PREFILLED PEN 40MG/0.4ML,,,,
ADAL10,ADAL10_20200406_OUT5.jpg,06/04/2020,Packaging,Abbvie,,,,,,,,ADALIMUMAB (HUMIRA) PREFILLED PEN 40MG/0.4ML,,,,
AGIO02,AGIO02_20200215_OUT1.jpg,15/02/2020,Packaging & Content,Mylan Pharmaceutical Hong Kong Limited,,,,,,,,AGIOLAX (OR EQUIV) GRANULES 250G,,,,
AGIO02,AGIO02_20200215_OUT2.jpg,15/02/2020,Packaging,Mylan Pharmaceutical Hong Kong Limited,,,,,,,,AGIOLAX (OR EQUIV) GRANULES 250G,,,,
ALBU12,ALBU12_20200218_OUT1.jpg,18/02/2020,Packaging,Treton-BOMA Limited,,,,,,,,ALBUMIN (OCTAPHARMA) INJECTION 20% (0.2G/ML) 50ML,,,,
ALBU12,ALBU12_20200218_OUT2.jpg,18/02/2020,Packaging,Treton-BOMA Limited,,,,,,,,ALBUMIN (OCTAPHARMA) INJECTION 20% (0.2G/ML) 50ML,,,,
ALOG01,ALOG01_20200813_INN1.jpg,13/8/2020,Loose pill,Takeda,TAK ALG-25,[NOIMPRINT],Brown Red,Oblong,,,,ALOGLIPTIN (BENZOATE) TABLET 25MG,,,,
ALOG01,ALOG01_20200813_OUT1.jpg,13/8/2020,Packaging,Takeda,,,,,,,,ALOGLIPTIN (BENZOATE) TABLET 25MG,,,,
ALOG01,ALOG01_20200813_OUT2.jpg,13/8/2020,Packaging,Takeda,,,,,,,,ALOGLIPTIN (BENZOATE) TABLET 25MG,,,,
ALPH09,ALPH09_20200211_INN1.jpg,11/02/2020,Loose pill,Jamieson,[NOIMPRINT],[NOIMPRINT],Translucent Yellow,Oblong,,,,ALPHA TOCOPHERYL ACETATE (D) (VIT E) CAPSULE 400 IU (268MG),,,,
ALPH09,ALPH09_20200211_OUT1.jpg,11/02/2020,Packaging,Jamieson,,,,,,,,ALPHA TOCOPHERYL ACETATE (D) (VIT E) CAPSULE 400 IU (268MG),,,,
ALUM02,ALUM02_20200211_INN1.jpg,11/02/2020,Loose pill,Adcock Ingram Limited,[NOIMPRINT],[NOIMPRINT],Green,Oblong,S1,,,ALUMINIUM HYDROXIDE TABLET 600MG,,,,
ALUM02,ALUM02_20200211_OUT1.jpg,11/02/2020,Packaging,Adcock Ingram Limited,,,,,,,,ALUMINIUM HYDROXIDE TABLET 600MG,,,,
ALUM19,ALUM19_20200109_INN1.jpg,09/01/2020,Loose pill,Jean-Marie,JM,Mas,White,Round,,,,ALUMINIUM / MAGNESIUM HYDROXIDE AND SIMETHICONE TABLET,,,,
ALUM19,ALUM19_20200109_OUT1.jpg,09/01/2020,Packaging,Jean-Marie,,,,,,,,ALUMINIUM / MAGNESIUM HYDROXIDE AND SIMETHICONE TABLET,,,,
AMIK03,AMIK03_20200218_OUT1.jpg,18/02/2020,Packaging,Bristol-Myers Squibb,,,,,,,,AMIKACIN (SULPHATE) INJECTION 250MG/ML 2ML,,,,
AMIK03,AMIK03_20200218_OUT2.jpg,18/02/2020,Packaging,Bristol-Myers Squibb,,,,,,,,AMIKACIN (SULPHATE) INJECTION 250MG/ML 2ML,,,,
AMIL01,AMIL01_20200211_INN1.jpg,11/02/2020,Loose pill,Jean-Marie,ALR 5,JM,Yellow,Round,,,,AMILORIDE HCL TABLET 5MG,,,,
AMIL01,AMIL01_20200211_OUT1.jpg,11/02/2020,Packaging,Jean-Marie,,,,,,,,AMILORIDE HCL TABLET 5MG,,,,
AMIN21,AMIN21_20200220_OTHER1.jpg,20/02/2020,Flavor Mix,"Otsuka Food Co., Ltd",,,,,,,,AMINOLEBAN EN (OR EQUIV) POWDER 50G/SACHET,,,,
AMIN21,AMIN21_20200220_OTHER2.jpg,20/02/2020,Flavor Mix,"Otsuka Food Co., Ltd",,,,,,,,AMINOLEBAN EN (OR EQUIV) POWDER 50G/SACHET,,,,
